Char	Codept	Name (Digraph)	Link	Html
Ꞌ	U+A78B	LATIN CAPITAL LETTER SALTILLO	http://unicode-table.com/en/A78B/	&#xA78B;
ꞌ	U+A78C	LATIN SMALL LETTER SALTILLO	http://unicode-table.com/en/A78C/	&#xA78C;
Ɥ	U+A78D	LATIN CAPITAL LETTER TURNED H	http://unicode-table.com/en/A78D/	&#xA78D;
ꞎ	U+A78E	LATIN SMALL LETTER L WITH RETROFLEX HOOK AND BELT	http://unicode-table.com/en/A78E/	&#xA78E;
Ꞑ	U+A790	LATIN CAPITAL LETTER N WITH DESCENDER	http://unicode-table.com/en/A790/	&#xA790;
ꞑ	U+A791	LATIN SMALL LETTER N WITH DESCENDER	http://unicode-table.com/en/A791/	&#xA791;
Ꞓ	U+A792	LATIN CAPITAL LETTER C WITH BAR	http://unicode-table.com/en/A792/	&#xA792;
ꞓ	U+A793	LATIN SMALL LETTER C WITH BAR	http://unicode-table.com/en/A793/	&#xA793;
ꞔ	U+A794	LATIN SMALL LETTER C WITH PALATAL HOOK	http://unicode-table.com/en/A794/	&#xA794;
ꞕ	U+A795	LATIN SMALL LETTER H WITH PALATAL HOOK	http://unicode-table.com/en/A795/	&#xA795;
Ꞗ	U+A796	LATIN CAPITAL LETTER B WITH FLOURISH	http://unicode-table.com/en/A796/	&#xA796;
ꞗ	U+A797	LATIN SMALL LETTER B WITH FLOURISH	http://unicode-table.com/en/A797/	&#xA797;
Ꞙ	U+A798	LATIN CAPITAL LETTER F WITH STROKE	http://unicode-table.com/en/A798/	&#xA798;
ꞙ	U+A799	LATIN SMALL LETTER F WITH STROKE	http://unicode-table.com/en/A799/	&#xA799;
Ꞛ	U+A79A	LATIN CAPITAL LETTER VOLAPUK AE	http://unicode-table.com/en/A79A/	&#xA79A;
ꞛ	U+A79B	LATIN SMALL LETTER VOLAPUK AE	http://unicode-table.com/en/A79B/	&#xA79B;
Ꞝ	U+A79C	LATIN CAPITAL LETTER VOLAPUK OE	http://unicode-table.com/en/A79C/	&#xA79C;
ꞝ	U+A79D	LATIN SMALL LETTER VOLAPUK OE	http://unicode-table.com/en/A79D/	&#xA79D;
Ꞟ	U+A79E	LATIN CAPITAL LETTER VOLAPUK UE	http://unicode-table.com/en/A79E/	&#xA79E;
ꞟ	U+A79F	LATIN SMALL LETTER VOLAPUK UE	http://unicode-table.com/en/A79F/	&#xA79F;
Ꞡ	U+A7A0	LATIN CAPITAL LETTER G WITH OBLIQUE STROKE	http://unicode-table.com/en/A7A0/	&#xA7A0;
ꞡ	U+A7A1	LATIN SMALL LETTER G WITH OBLIQUE STROKE	http://unicode-table.com/en/A7A1/	&#xA7A1;
Ꞣ	U+A7A2	LATIN CAPITAL LETTER K WITH OBLIQUE STROKE	http://unicode-table.com/en/A7A2/	&#xA7A2;
ꞣ	U+A7A3	LATIN SMALL LETTER K WITH OBLIQUE STROKE	http://unicode-table.com/en/A7A3/	&#xA7A3;
Ꞥ	U+A7A4	LATIN CAPITAL LETTER N WITH OBLIQUE STROKE	http://unicode-table.com/en/A7A4/	&#xA7A4;
ꞥ	U+A7A5	LATIN SMALL LETTER N WITH OBLIQUE STROKE	http://unicode-table.com/en/A7A5/	&#xA7A5;
Ꞧ	U+A7A6	LATIN CAPITAL LETTER R WITH OBLIQUE STROKE	http://unicode-table.com/en/A7A6/	&#xA7A6;
ꞧ	U+A7A7	LATIN SMALL LETTER R WITH OBLIQUE STROKE	http://unicode-table.com/en/A7A7/	&#xA7A7;
Ꞩ	U+A7A8	LATIN CAPITAL LETTER S WITH OBLIQUE STROKE	http://unicode-table.com/en/A7A8/	&#xA7A8;
ꞩ	U+A7A9	LATIN SMALL LETTER S WITH OBLIQUE STROKE	http://unicode-table.com/en/A7A9/	&#xA7A9;
Ɦ	U+A7AA	LATIN CAPITAL LETTER H WITH HOOK	http://unicode-table.com/en/A7AA/	&#xA7AA;
Ɜ	U+A7AB	LATIN CAPITAL LETTER REVERSED OPEN E	http://unicode-table.com/en/A7AB/	&#xA7AB;
Ɡ	U+A7AC	LATIN CAPITAL LETTER SCRIPT G	http://unicode-table.com/en/A7AC/	&#xA7AC;
Ɬ	U+A7AD	LATIN CAPITAL LETTER L WITH BELT	http://unicode-table.com/en/A7AD/	&#xA7AD;
Ʞ	U+A7B0	LATIN CAPITAL LETTER TURNED K	http://unicode-table.com/en/A7B0/	&#xA7B0;
Ʇ	U+A7B1	LATIN CAPITAL LETTER TURNED T	http://unicode-table.com/en/A7B1/	&#xA7B1;
ꟷ	U+A7F7	LATIN EPIGRAPHIC LETTER SIDEWAYS I	http://unicode-table.com/en/A7F7/	&#xA7F7;
ꟸ	U+A7F8	MODIFIER LETTER CAPITAL H WITH STROKE	http://unicode-table.com/en/A7F8/	&#xA7F8;
ꟹ	U+A7F9	MODIFIER LETTER SMALL LIGATURE OE	http://unicode-table.com/en/A7F9/	&#xA7F9;
ꟺ	U+A7FA	LATIN LETTER SMALL CAPITAL TURNED M	http://unicode-table.com/en/A7FA/	&#xA7FA;
ꟻ	U+A7FB	LATIN EPIGRAPHIC LETTER REVERSED F	http://unicode-table.com/en/A7FB/	&#xA7FB;
